platform,content_type,post_id,posted_at,reach,likes,comments,shares,saved,views,followers,caption
instagram,image,IG001,2025-05-01 09:00:00,5200,420,35,28,45,5800,1200,Tips produktivitas pagi hari
instagram,reel,IG002,2025-05-01 14:30:00,12500,980,120,85,110,15000,1210,Tutorial makeup natural
instagram,carousel,IG003,2025-05-02 10:15:00,8300,650,55,42,78,9200,1215,Review produk skincare terbaik
instagram,story,IG004,2025-05-02 18:00:00,3200,180,12,8,15,3500,1220,Behind the scenes
instagram,video,IG005,2025-05-03 12:00:00,9800,720,88,65,92,11500,1225,Vlog weekend seru
tiktok,video,TT001,2025-05-03 20:00:00,25000,2100,350,420,180,28000,850,Dance challenge viral
tiktok,video,TT002,2025-05-04 11:00:00,18500,1450,220,280,145,21000,860,Life hack dapur
instagram,image,IG006,2025-05-04 15:30:00,4800,380,28,22,38,5200,1230,Quote motivasi
instagram,reel,IG007,2025-05-05 09:45:00,15200,1250,145,98,125,17500,1240,Outfit of the day
tiktok,video,TT003,2025-05-05 19:00:00,32000,2800,480,520,220,36000,880,Comedy skit lucu
instagram,carousel,IG008,2025-05-06 08:30:00,6500,520,42,35,55,7200,1245,Infografis kesehatan
instagram,image,IG009,2025-05-06 16:00:00,4200,340,25,18,32,4600,1250,Foto produk baru
tiktok,video,TT004,2025-05-07 12:30:00,28000,2400,380,450,195,31500,900,Tutorial masak simple
instagram,reel,IG010,2025-05-07 18:45:00,11800,920,95,72,88,13500,1255,Transition video keren
instagram,story,IG011,2025-05-08 10:00:00,2800,150,8,5,12,3100,1260,Poll interaktif
tiktok,video,TT005,2025-05-08 21:00:00,22000,1850,290,320,165,25000,920,Review jujur produk
instagram,image,IG012,2025-05-09 14:00:00,5500,450,38,30,48,6100,1265,Flat lay photography
instagram,carousel,IG013,2025-05-09 19:30:00,7800,620,52,45,68,8600,1270,Tips fotografi HP
tiktok,video,TT006,2025-05-10 10:30:00,35000,3100,520,580,250,39000,945,Trend dance terbaru
instagram,reel,IG014,2025-05-10 15:00:00,13500,1080,115,85,102,15200,1275,Mini vlog sehari
instagram,video,IG015,2025-05-11 11:00:00,8200,640,68,52,75,9400,1280,Tutorial DIY decor
tiktok,video,TT007,2025-05-11 20:30:00,19500,1650,260,295,155,22000,960,Storytime menarik
instagram,image,IG016,2025-05-12 09:00:00,4600,370,30,24,40,5000,1285,Aesthetic feed post
instagram,story,IG017,2025-05-12 17:00:00,3000,165,10,6,14,3300,1290,Q&A session
tiktok,video,TT008,2025-05-13 13:00:00,42000,3600,620,680,290,47000,985,Viral challenge
instagram,reel,IG018,2025-05-13 19:00:00,16800,1380,160,115,135,19000,1295,Makeup transformation
instagram,carousel,IG019,2025-05-14 10:30:00,9200,740,62,50,82,10200,1300,Travel guide lengkap
tiktok,video,TT009,2025-05-14 21:30:00,26500,2250,360,400,185,30000,1010,POV comedy
instagram,image,IG020,2025-05-15 14:30:00,5800,480,42,35,52,6400,1305,Product showcase
instagram,reel,IG021,2025-05-15 18:00:00,14200,1150,125,92,115,16000,1310,Day in my life
tiktok,video,TT010,2025-05-16 11:30:00,31000,2650,440,490,215,35000,1035,Educational content
instagram,video,IG022,2025-05-16 16:30:00,7500,580,58,45,65,8400,1315,Unboxing video
instagram,story,IG023,2025-05-17 09:30:00,2600,140,7,4,11,2900,1320,Morning routine
tiktok,video,TT011,2025-05-17 20:00:00,24000,2050,330,370,175,27500,1055,Duet viral
instagram,carousel,IG024,2025-05-18 12:00:00,8800,700,58,48,75,9800,1325,Recipe step by step
instagram,image,IG025,2025-05-18 17:30:00,5100,410,34,28,44,5600,1330,Minimalist aesthetic
tiktok,video,TT012,2025-05-19 14:00:00,38000,3300,560,620,265,43000,1080,Trend sound baru
instagram,reel,IG026,2025-05-19 19:30:00,12200,980,102,78,95,13800,1335,Quick tips editing
instagram,image,IG027,2025-05-20 10:00:00,4400,355,28,22,38,4800,1340,Nature photography
tiktok,video,TT013,2025-05-20 21:00:00,21000,1780,280,310,160,24000,1100,Reaction video
instagram,reel,IG028,2025-05-21 15:00:00,17500,1450,170,125,145,19800,1345,Fashion haul
instagram,carousel,IG029,2025-05-21 18:30:00,7200,575,48,40,62,8000,1350,Workout routine
tiktok,video,TT014,2025-05-22 12:00:00,29000,2480,400,445,200,33000,1120,Satisfying video
instagram,story,IG030,2025-05-22 16:00:00,3100,170,9,6,13,3400,1355,This or that
instagram,video,IG031,2025-05-23 11:00:00,8800,690,72,55,80,10000,1360,Room tour
tiktok,video,TT015,2025-05-23 19:30:00,33000,2850,480,530,230,37500,1145,Get ready with me
instagram,image,IG032,2025-05-24 09:00:00,5400,435,36,30,46,5900,1365,Coffee aesthetic
instagram,reel,IG033,2025-05-24 14:00:00,11500,920,98,75,90,13000,1370,Skincare routine
tiktok,video,TT016,2025-05-25 10:30:00,27000,2300,370,415,190,30500,1165,Pranks lucu
instagram,carousel,IG034,2025-05-25 16:30:00,9500,760,64,52,85,10500,1375,Home decor ideas
instagram,reel,IG035,2025-05-26 12:00:00,15800,1300,150,110,128,17800,1380,Cooking video
tiktok,video,TT017,2025-05-26 20:00:00,36000,3100,530,590,255,40500,1185,Trending audio
instagram,image,IG036,2025-05-27 10:30:00,4800,385,32,26,42,5250,1385,Sunset photography
instagram,story,IG037,2025-05-27 18:00:00,2900,158,8,5,12,3200,1390,Quiz time
tiktok,video,TT018,2025-05-28 13:00:00,23500,2000,320,355,170,26800,1205,Tutorial makeup
instagram,reel,IG038,2025-05-28 17:30:00,13200,1060,112,85,100,15000,1395,Healthy meal prep
instagram,carousel,IG039,2025-05-29 09:00:00,8100,645,54,44,70,9000,1400,Study tips
tiktok,video,TT019,2025-05-29 21:00:00,40000,3450,590,650,280,45000,1225,Viral moment
instagram,video,IG040,2025-05-30 14:00:00,9200,720,76,58,85,10400,1405,Hair tutorial
instagram,image,IG041,2025-05-30 18:30:00,5000,405,34,28,44,5500,1410,Book recommendation
tiktok,video,TT020,2025-05-31 11:00:00,30000,2550,420,465,205,34000,1245,Day vlog
instagram,reel,IG042,2025-05-31 16:00:00,16200,1320,155,115,130,18200,1415,Outfit inspo
instagram,story,IG043,2025-06-01 10:00:00,3300,180,10,7,15,3600,1420,Ask me anything
tiktok,video,TT021,2025-06-01 19:00:00,25500,2180,350,390,180,29000,1265,Comedy sketch
instagram,carousel,IG044,2025-06-02 12:30:00,7600,608,51,42,65,8400,1425,Photography tips
instagram,image,IG045,2025-06-02 17:00:00,5600,450,38,31,48,6100,1430,Aesthetic flat lay
tiktok,video,TT022,2025-06-03 13:30:00,34000,2920,495,550,240,38500,1285,New trend
instagram,reel,IG046,2025-06-03 18:30:00,14500,1180,128,95,112,16400,1435,Mini mukbang
instagram,video,IG047,2025-06-04 10:00:00,8500,665,70,54,78,9600,1440,Plant care tips
tiktok,video,TT023,2025-06-04 20:30:00,28500,2420,390,435,195,32500,1305,Storytime part 2
instagram,image,IG048,2025-06-05 14:30:00,4500,362,30,24,39,4950,1445,Workspace setup
instagram,reel,IG049,2025-06-05 19:00:00,12800,1025,108,82,98,14500,1450,Evening routine
tiktok,video,TT024,2025-06-06 11:30:00,37000,3180,540,600,260,42000,1325,Trend challenge
instagram,carousel,IG050,2025-06-06 15:30:00,9800,785,66,54,88,10800,1455,Meal prep guide
instagram,story,IG051,2025-06-07 09:00:00,2700,145,7,5,11,3000,1460,Weekly recap
tiktok,video,TT025,2025-06-07 18:00:00,22500,1920,310,345,165,25800,1345,Life update
instagram,image,IG052,2025-06-08 13:00:00,5250,425,35,29,45,5750,1465,Golden hour photo
instagram,reel,IG053,2025-06-08 17:30:00,17200,1410,165,122,140,19500,1470,Shopping haul
tiktok,video,TT026,2025-06-09 12:00:00,31500,2700,450,500,220,35800,1365,Reaction content
instagram,video,IG054,2025-06-09 16:00:00,7800,610,64,50,70,8700,1475,Apartment tour
instagram,carousel,IG055,2025-06-10 10:30:00,8400,672,56,46,72,9300,1480,Fitness journey
tiktok,video,TT027,2025-06-10 21:00:00,26000,2220,360,400,185,29800,1385,POV series
instagram,reel,IG056,2025-06-11 14:00:00,13800,1105,118,88,105,15600,1485,Smoothie recipe
instagram,image,IG057,2025-06-11 18:00:00,4900,395,33,27,42,5350,1490,Pet photography
tiktok,video,TT028,2025-06-12 10:00:00,39000,3350,570,635,275,44200,1405,Trending sound
instagram,story,IG058,2025-06-12 16:30:00,3050,168,9,6,14,3350,1495,Behind the camera
instagram,reel,IG059,2025-06-13 11:30:00,15500,1270,148,110,125,17500,1500,Quick workout
tiktok,video,TT029,2025-06-13 19:30:00,24500,2100,340,380,175,28000,1425,Duet challenge
instagram,carousel,IG060,2025-06-14 09:30:00,7900,632,53,43,68,8750,1505,Productivity hacks
instagram,video,IG061,2025-06-14 15:00:00,9000,705,74,57,82,10200,1510,Cooking tutorial
tiktok,video,TT030,2025-06-15 12:30:00,35500,3050,520,575,250,40200,1445,Viral dance
instagram,image,IG062,2025-06-15 17:00:00,5350,432,36,30,46,5850,1515,Street style
instagram,reel,IG063,2025-06-16 10:00:00,14000,1130,122,92,108,15800,1520,Self care routine
tiktok,video,TT031,2025-06-16 20:00:00,29500,2520,410,455,205,33500,1465,Green screen edit
instagram,story,IG064,2025-06-17 14:00:00,2850,155,8,5,12,3150,1525,Mood check
instagram,carousel,IG065,2025-06-17 18:30:00,8650,692,58,48,75,9550,1530,Capsule wardrobe
